Names	total	elements
Calcium Exocytosis PS genes Sodium	3	TIMM17A
		PSMB7
		SEZ6L
Cell size Exocytosis PS genes Sodium	6	SLC9A3R1
		HIGD1A
		ITM2C
		OSTC
		RBP4
		SCG2
Calcium Cell size Exocytosis PS genes	3	CORO1B
		CYB561
		NOL7
Calcium PS genes Sodium	11	DDX5
		MRPS34
		NPM1
		EIF2S3
		NSL1
		RPL17
		R3HCC1
		FAM46C
		RRP15
		RPS14
		ANP32B
Exocytosis PS genes Sodium	51	VAMP2
		EIF1P5
		PCGF3
		PSMA1
		RNF34
		GET4
		MAFA
		RPS19BP1
		SCAND1
		MANF
		SEC13
		PSMD8
		STAT3
		B2M
		BABAM1
		ALDOA
		PRRC1
		TSTD1
		CLIC1
		MORF4L1P1
		H1F0
		MAGEH1
		CLSTN1
		PFKFB2
		IFI6
		SRXN1
		DIABLO
		VPS28
		ABHD3
		SLC3A2
		COPS3
		TNFRSF11A
		ID2
		CADM1
		MEAF6
		ACTB
		DNTTIP2
		SBDS
		ENO1
		PRELID1
		GSTO1
		NDUFA3
		SERINC1
		FAM159B
		SNRPB
		PFN1
		SNRNP40
		TFF3
		MRPS18B
		SYT4
		HNRNPCP2
Cell size PS genes Sodium	17	TAGLN2
		ARF4
		FKBP4
		FXYD2
		TPPP3
		CD59
		COPE
		HPRT1
		MYDGF
		MTDH
		EMC6
		TOR1AIP2
		CALD1
		TMED6
		EIF3FP3
		MCMBP
		HIST1H4C
Calcium Exocytosis PS genes	17	POLR2G
		SNRNP70
		TBC1D5
		GSTA4
		LDHB
		HCFC1
		CAMK2B
		SLC37A1
		SIGMAR1
		ZNF428
		SLC30A8
		NAXD
		GPRIN1
		TXNRD1
		GLRX5
		ACIN1
		ST13
Calcium Cell size PS genes	6	WSB1
		ILF3
		BIRC2
		NUTF2
		DMKN
		TKFC
Cell size Exocytosis PS genes	25	JTB
		ACOX1
		C1QL1
		MTND4P12
		FOCAD
		MTCO2P12
		SVIL-AS1
		EAF1
		ATXN2
		C14orf166
		RUVBL2
		DPP6
		PCSK1N
		PRPF40A
		PPP1R15A
		MT-RNR2
		GSTK1
		FAM46A
		CKMT1A
		ENSG00000277048
		RPL37A
		IGBP1
		VTI1B
		NANS
		RAB8A
PS genes Sodium	73	TPI1P1
		UTP4
		ATP5D
		CHID1
		RRP7A
		CD55
		PTPN11
		MDH1
		RTF1
		UBE2I
		TPI1
		SLC38A10
		RPL18AP3
		CPSF3L
		SYN1
		SRP72
		CHGA
		MTND2P28
		RAB26
		HUWE1
		CHCHD7
		STUB1
		NPTX2
		FAU
		TIMM10B
		EIF3D
		CREB3
		STARD3NL
		DNAJC12
		MTND5P11
		PSEN2
		SGSM3
		PCSK2
		TNFRSF12A
		SLC2A1
		FOXK1
		BBX
		CLK1
		DTD1
		FAM103A1
		GLRX3
		STX1A
		LRRC24
		UTP18
		TAF13
		GTF2A2
		RPL5
		DNAJC8
		ADK
		COQ8A
		COMMD3
		SCG3
		ARG2
		SSSCA1
		RBMX
		TGFBR3
		ILKAP
		RPL11
		CCT5
		TBRG4
		MAP2K1
		SNRPB2
		WNT4
		STX16
		RPL7P32
		CYB5A
		GAPDH
		ABCC8
		ACTG1
		DDX56
		MBD1
		RANGAP1
		PCIF1
Calcium PS genes	19	ORC3
		DDX27
		NPC2
		NDUFA8
		RSRC1
		RPS3AP26
		LAGE3
		UQCRB
		EIF4B
		RACK1
		REEP5
		IQGAP1
		RPL18A
		POLR1D
		RAB11FIP1
		GCG
		DPAGT1
		MIR4458HG
		FAM174B
Exocytosis PS genes	62	PIGX
		RPL10P9
		RTN1
		HERC2
		ASB8
		C16orf45
		GRB2
		SYT5
		MAPK10
		MMAB
		ATP2C1
		PLAGL1
		FTL
		SH3PXD2A
		RPL10
		MTHFD2
		NOP10
		CPD
		LRBA
		SPEN
		RPL3P4
		SNX2
		PLCXD3
		DERL2
		TSPAN2
		RPL24
		HNRNPH3
		KLHDC2
		SURF2
		FBXO7
		LRRFIP1
		ANXA5
		HNRNPC
		RFK
		TSPAN12
		TBCC
		PGRMC1
		ZNF512
		ENTPD6
		RPS20
		KIAA0907
		DHPS
		SOD1
		DDIT3
		MDK
		HDAC2
		PSMD4
		CASR
		SNF8
		TSPAN1
		TRPM3
		ZMAT2
		IMP3
		GPX3
		CNPPD1
		C1orf127
		FASTKD1
		ATP6V0E2
		BMP5
		HGS
		TRIM8
		ATRN
Cell size PS genes	65	DSP
		OSBPL8
		AC018738.2
		NDUFA11
		FAM192A
		ATP1B1
		LINC00969
		RPS28
		ADI1
		NKX6-1
		MRPS17
		CLPTM1
		ZMAT5
		METRN
		MT-CYB
		TARS
		G6PC2
		SNAP25
		RPL7
		PSMC4
		KRT8
		ATP6AP1
		STXBP5
		KXD1
		ZFPL1
		GNL1
		ABRACL
		RIOK3
		COG8
		CHPF2
		KIF1B
		ARGLU1
		ATP5EP2
		UFC1
		MTATP6P1
		FKBP8
		RPL26
		PRDX3
		NIPSNAP3A
		VWDE
		ANKRD39
		ADCYAP1
		IAPP
		ID4
		RBM42
		SERPINB6
		DDX6
		SRSF1
		SLC4A1AP
		NCBP2
		STOML2
		TBC1D22A
		SOCS2
		MAP1B
		CHP1
		EXOSC4
		RALGAPA1
		SNRNP200
		SBDSP1
		MAGED1
		SNHG14
		NDEL1
		USP8
		MAEA
		DHRS2
PS genes	126	ELMO2
		CCNI
		ENSG00000276171
		LINC00665
		UNC5B
		C5orf24
		NFIA
		MCRS1
		SFPQ
		ILF2
		DAD1
		PALLD
		RPL35
		IMPDH2
		COG6
		DNAJC15
		THYN1
		SSU72
		DSTN
		RBM23
		SYT13
		EIF1
		NDUFS8
		RTN3
		SOS2
		SPTBN1
		EXOC2
		SCD5
		BAG1
		HSPA4
		RPS13
		OLFM1
		SF3A3
		RAB21
		RPS8
		NRBP1
		AP2A1
		MORF4L2
		DCTN1
		RIMBP2
		PRKAR1A
		INTS10
		ZNF593
		CAP1
		FBXO17
		SMCO4
		PSMD12
		SRGAP2C
		PRKACB
		CBWD5
		NDUFB6
		POR
		TP53BP1
		TMEM259
		MED16
		RPS24
