Gene Set Name;# Genes in Gene Set (K);Description;# Genes in Overlap (k);k/K;p-value;FDR q-value;Dataset;MetaName
REACTOME_MEMBRANE_TRAFFICKING;129;Membrane Trafficking;9;0.0698;1.19E-08;1.02E-05;ND anticorr;Vesicle-mediated transport
REACTOME_METABOLISM_OF_PROTEINS;518;Metabolism of proteins;15;0.029;3.00E-08;1.29E-05;ND anticorr;Metabolism of proteins
REACTOME_HIV_INFECTION;207;HIV Infection;10;0.0483;6.09E-08;1.75E-05;ND anticorr;Disease
REACTOME_GLYCOLYSIS;29;Glycolysis;5;0.1724;2.37E-07;5.10E-05;ND anticorr;Metabolism
KEGG_GLYCOLYSIS_GLUCONEOGENESIS;62;Glycolysis / Gluconeogenesis;6;0.0968;4.96E-07;6.89E-05;ND anticorr;Carbohydrate metabolism
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES;200;Metabolism of amino acids and derivatives;9;0.045;5.13E-07;6.89E-05;ND anticorr;Metabolism
REACTOME_APOPTOSIS;148;Apoptosis;8;0.0541;5.61E-07;6.89E-05;ND anticorr;Programmed Cell Death
REACTOME_GLUCOSE_METABOLISM;69;Glucose metabolism;6;0.087;9.42E-07;1.01E-04;ND anticorr;Metabolism
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA;140;Processing of Capped Intron-Containing Pre-mRNA;7;0.05;4.86E-06;4.50E-04;ND anticorr;Metabolism of RNA
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS;53;Golgi Associated Vesicle Biogenesis;5;0.0943;5.23E-06;4.50E-04;ND anticorr;Vesicle-mediated transport
REACTOME_CELL_CYCLE;421;Cell Cycle;11;0.0261;5.78E-06;4.52E-04;ND anticorr;Cell Cycle
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING;60;trans-Golgi Network Vesicle Budding;5;0.0833;9.69E-06;6.95E-04;ND anticorr;Vesicle-mediated transport
REACTOME_ADAPTIVE_IMMUNE_SYSTEM;539;Adaptive Immune System;12;0.0223;1.09E-05;7.22E-04;ND anticorr;Immune System
