	tSNE1	tSNE2
1001200602_A6	-28.872284	-11.228702
1001200602_A7	-51.63573	27.338318
1001200602_B1	-37.648838	43.73871
1001200602_B10	-31.700321	47.696835
1001200602_B2	41.660492	-13.165729
1001200602_B4	-44.383774	33.6371
1001200602_B6	0.65688056	-1.0978388
1001200602_B7	-41.650276	38.540146
1001200602_B8	22.59147	-20.36897
1001200602_B9	-32.167522	43.70108
1001200602_C1	-28.35098	50.338673
1001200602_C3	-15.818582	-12.123482
1001200602_C5	-46.013195	30.990976
1001200602_C6	16.332552	-16.088312
1001200602_C7	-43.264507	30.094812
1001200602_C8	-38.20587	36.85767
1001200602_D10	37.652664	-7.841242
1001200602_D3	-50.02843	27.449047
1001200602_D4	-49.00836	28.382496
1001200602_D5	-4.4482284	6.060204
1001200602_D6	-0.18563977	-8.079677
1001200602_D7	34.645123	-24.73508
1001200602_D9	-31.873577	48.05396
1001200602_E10	16.847012	-5.4774246
1001200602_E3	-38.620148	36.57365
1001200602_E6	-10.497809	-8.9511795
1001200602_E7	-50.228363	29.828297
1001200602_E9	-29.594149	44.165146
1001200602_F10	13.976181	-20.873735
1001200602_F2	-43.42682	30.161552
1001200602_F3	36.565754	-12.063104
1001200602_F5	30.477356	-10.053032
1001200602_F7	-48.42963	29.81808
1001200602_F8	-46.73957	32.132843
1001200602_G1	-37.568027	39.3794
1001200602_G2	-27.327093	48.53382
1001200602_G7	-20.235271	32.402348
1001200602_G8	11.465861	-19.10399
1001200602_H1	-39.265766	29.411268
1001200602_H10	35.79409	-9.391799
1001200602_H2	-40.075024	23.749472
1001200602_H3	-28.937	34.592964
1001200602_H4	-41.800175	-19.868567
1001200602_H5	-14.924517	-0.7884022
1001200602_H7	-42.33994	39.148525
1001200604_A10	-25.829277	37.97476
1001200604_A11	-19.51544	30.544859
1001200604_A12	-8.35164	-8.408404
1001200604_A2	12.616538	-8.2194805
1001200604_A3	-5.0792384	-1.1064427
1001200604_A4	23.382406	-4.031454
1001200604_A5	-16.247824	2.5890212
1001200604_A6	-5.6437674	3.3194165
1001200604_A9	-26.055838	49.625843
1001200604_B12	-9.879509	-7.5801215
1001200604_B2	-35.90325	36.284878
1001200604_B3	20.399918	-4.7235518
1001200604_B4	-5.9315877	-12.351355
1001200604_B6	-19.221245	33.743736
1001200604_B8	-30.755663	36.351418
1001200604_C1	12.317802	-0.045702476
1001200604_C10	-20.849554	35.18952
1001200604_C12	-12.139448	-7.841022
1001200604_C2	-41.471054	32.96372
1001200604_C3	-23.7972	39.659134
1001200604_C4	20.310131	-4.628856
1001200604_C5	0.4522572	-5.9757543
1001200604_C6	-25.59412	-6.695091
1001200604_C8	-30.399403	29.29862
1001200604_D1	11.5551815	-9.410939
1001200604_D10	-42.2402	34.115795
1001200604_D11	11.131507	18.445522
1001200604_D12	-8.444231	-8.227753
1001200604_D3	9.306199	-12.444078
1001200604_D4	1.4440899	-9.536223
1001200604_D5	10.29349	-3.91278
1001200604_D7	-24.43609	49.98356
1001200604_D8	37.13738	-18.613691
1001200604_D9	-24.245077	50.03652
1001200604_E1	8.313223	-18.20334
1001200604_E10	32.442863	-32.409428
1001200604_E11	-0.18396905	23.787752
1001200604_E12	10.600723	18.042507
1001200604_E3	3.592375	-6.281333
1001200604_E4	-14.990758	1.8217286
1001200604_E5	6.862272	-13.864922
1001200604_E7	-46.221577	27.823597
1001200604_E8	-19.504324	35.4647
1001200604_E9	-24.938257	50.02539
1001200604_F1	13.776732	-4.5418653
1001200604_F10	-47.59127	28.923758
1001200604_F11	-16.518044	36.03275
1001200604_F12	-16.511995	35.976177
1001200604_F2	-4.170387	26.03177
1001200604_F3	-0.69554067	-11.289686
1001200604_F4	8.798128	-15.662874
1001200604_F5	4.958737	-18.142338
1001200604_F6	-26.329258	-6.0843854
1001200604_G10	-22.406424	48.897476
1001200604_G12	10.412566	17.984945
1001200604_G2	10.749298	-3.9415767
1001200604_G3	10.904066	-7.317294
1001200604_G4	-5.9220533	4.094628
1001200604_G5	11.747953	-8.051849
1001200604_G6	8.641444	-15.618252
1001200604_G7	-25.681492	50.759636
1001200604_H1	-4.064683	4.5195584
1001200604_H11	11.573743	17.463938
1001200604_H12	11.528339	18.026443
1001200604_H2	-10.670585	-2.8257258
1001200604_H3	2.7861583	-0.7781275
1001200604_H4	-3.8666606	2.5336537
1001200604_H6	17.34549	-10.435504
1001200604_H8	31.538456	-2.847028
1001200604_H9	-22.114155	49.016582
1001200605_B11	-41.76317	35.546314
1001200605_B12	29.39612	-29.937666
1001200605_B3	-25.784184	-4.823801
1001200605_C10	-38.78322	32.626884
1001200605_C3	5.2875233	-13.182584
1001200605_C8	-42.192997	30.65574
1001200605_D11	-29.251068	45.82382
1001200605_E10	-26.226662	40.229023
1001200605_E7	-42.984272	25.874714
1001200605_F11	-45.940926	28.252502
1001200605_F9	-39.9888	34.04311
1001200605_G11	-22.716808	40.350784
1001200605_G7	-31.794771	46.407227
1001200605_G9	-31.45686	45.914772
1001200605_H11	-35.160286	40.2505
1001200606_A10	-31.790735	36.812355
1001200606_A11	-49.86147	27.752977
1001200606_A4	3.7869198	-3.0052161
1001200606_A5	6.593969	-1.8416005
1001200606_A6	-8.849142	-10.951348
1001200606_A7	-41.276546	27.283037
1001200606_A8	25.66992	-29.323202
1001200606_A9	-30.437342	46.228474
1001200606_B10	-43.527973	42.59316
1001200606_B11	-32.688263	41.763336
1001200606_B12	-31.206951	49.705032
1001200606_B3	-1.2890161	-7.1307683
1001200606_B4	-6.295511	-6.1971073
1001200606_B5	-22.755096	34.984344
1001200606_B7	-35.50591	40.164856
1001200606_B8	-40.272434	29.388033
1001200606_C11	-47.246265	27.03229
1001200606_C12	-45.301323	29.681908
1001200606_C5	-9.247642	2.0364077
