	tSNE1	tSNE2
1001200602_A6	-24.76971	38.65514
1001200602_B2	19.43426	-28.323433
1001200602_B6	-18.928587	12.4518795
1001200602_B8	3.9917371	11.65934
1001200602_C3	-17.466429	32.16793
1001200602_C6	3.8097696	0.70786315
1001200602_D10	1.1899594	-15.19779
1001200602_D5	-18.784456	7.3947735
1001200602_D6	-7.1190734	14.591863
1001200602_D7	27.945574	-24.518576
1001200602_E10	1.4906739	17.206667
1001200602_E6	-2.9525006	22.516197
1001200602_F10	3.2693496	-8.55708
1001200602_F3	9.39306	-19.646372
1001200602_F5	4.5164666	-24.054289
1001200602_G8	-14.962712	-2.177424
1001200602_H10	6.9808793	-14.270537
1001200602_H5	-21.536066	25.724573
1001200604_A12	-19.591026	19.592436
1001200604_A2	-8.300793	-4.4530945
1001200604_A3	-11.8474865	21.518097
1001200604_A4	-5.2895546	-6.4948325
1001200604_A5	-22.605604	31.271502
1001200604_A6	-10.865091	27.885075
1001200604_B12	-6.857073	32.534122
1001200604_B3	2.7091157	16.400547
1001200604_B4	-12.113741	17.517103
1001200604_C1	-24.584875	29.539442
1001200604_C12	0.4863258	15.98551
1001200604_C4	2.9729857	16.175112
1001200604_C5	-24.132776	7.4543986
1001200604_C6	-20.947533	40.04581
1001200604_D1	-7.462957	-3.0875869
1001200604_D12	-4.0745554	14.296792
1001200604_D3	-16.159698	-0.6636874
1001200604_D4	-9.0774	-7.032266
1001200604_D5	-11.069755	17.099081
1001200604_D8	18.316095	-17.856493
1001200604_E1	-10.935284	-3.463097
1001200604_E10	18.134237	-9.201918
1001200604_E3	-7.0494623	13.9985695
1001200604_E4	-22.159737	31.054829
1001200604_E5	-9.63117	0.41719362
1001200604_F1	-6.799602	-7.3867965
1001200604_F3	-8.791444	10.941583
1001200604_F4	-11.729279	-0.5839827
1001200604_F5	-12.556577	7.4119473
1001200604_F6	-21.771467	39.09648
1001200604_G2	-8.918618	13.323286
1001200604_G3	-2.1105373	4.408021
1001200604_G4	-9.696901	27.806293
1001200604_G5	-2.0701916	5.0131125
1001200604_G6	-11.775266	-0.7098574
1001200604_H1	-19.593029	4.813743
1001200604_H2	-12.859626	27.465918
1001200604_H3	-19.564926	12.193396
1001200604_H4	-9.600022	25.558937
1001200604_H6	0.5784715	-3.579855
1001200604_H8	21.476831	-4.150208
1001200605_B12	28.382639	-11.385996
1001200605_B3	-21.950474	37.524353
1001200605_C3	-7.849406	1.6906136
1001200606_A4	-17.109636	10.836442
1001200606_A5	-17.144054	9.928262
1001200606_A6	-20.970888	20.645735
1001200606_A8	17.43344	-4.2941666
1001200606_B3	-5.68514	15.848847
1001200606_B4	-11.470034	15.410253
1001200606_C5	-13.997605	30.197027
1001200606_C7	-8.930098	16.380512
1001200606_D5	-14.920279	12.193726
1001200606_D6	-20.787052	12.873072
1001200606_E3	-15.1230345	34.078293
1001200606_E4	-9.9173765	17.343609
1001200606_F5	1.1031979	-0.3757835
1001200606_G2	-7.7777295	16.826342
1001200606_G4	-24.146303	2.7865224
1001200606_G5	-9.355247	18.78978
1001200606_H3	-7.968203	18.567772
1001200606_H4	-9.210156	33.792137
1001200606_H5	-20.223263	12.918034
1001200606_H8	19.227911	-13.672267
1001200607_A10	-8.427769	32.369186
1001200607_A11	-16.564453	28.594986
1001200607_A2	-12.09153	15.849353
1001200607_A4	-4.615063	11.766824
1001200607_A7	-11.008474	29.061361
1001200607_A8	-24.152151	13.252433
1001200607_B1	-5.024866	13.528255
1001200607_B2	-9.610836	-8.640093
1001200607_B3	-25.003517	4.851133
1001200607_B4	-5.778355	1.5774251
1001200607_B7	18.727583	-20.621162
1001200607_B8	-18.592121	-5.611766
1001200607_B9	-21.780447	30.877296
1001200607_C1	-3.1808157	-2.661083
1001200607_C10	-14.047589	40.081627
1001200607_C2	-6.1728363	3.651804
1001200607_C3	2.1694756	-0.28479472
1001200607_C6	7.900868	-7.426117
1001200607_C8	3.7596269	-3.9712791
1001200607_C9	-6.3990498	19.75081
1001200607_D1	-6.688799	22.604527
1001200607_D10	-12.164982	27.384953
1001200607_D12	-12.495124	36.5901
1001200607_D2	-3.4566216	0.050200414
1001200607_D3	-8.452788	20.060383
1001200607_D5	-3.8664532	-3.5580363
1001200607_D7	3.5762205	-19.937302
1001200607_D8	21.746323	-9.790428
1001200607_E10	-22.91994	34.348156
1001200607_E12	-9.94489	31.053576
1001200607_E2	-0.2833526	14.36984
1001200607_E3	-12.190519	7.1898627
1001200607_E7	-17.438463	33.516052
1001200607_F1	-21.439602	16.585068
1001200607_F10	-21.56922	40.524323
1001200607_F2	-15.317174	42.104427
1001200607_F3	-17.99676	9.148998
1001200607_F5	-1.0740767	-2.7113857
1001200607_F7	-3.0073159	-1.7176169
1001200607_F8	22.397142	-0.95692086
1001200607_G1	-21.061676	16.363039
1001200607_G2	-19.784943	38.08569
1001200607_G3	1.3427932	-2.0958457
1001200607_G7	-17.92528	35.00888
1001200607_H10	-3.6874833	24.483015
1001200607_H2	-20.772228	8.414023
1001200607_H3	9.806789	-1.5779434
1001200607_H6	3.1600494	-3.5433738
