	tSNE1	tSNE2
1001200613_A1	7.5217314	-20.959122
1001200613_A11	-16.20399	16.130411
1001200613_A12	-13.158541	-13.806475
1001200613_A2	-10.3677	-8.511007
1001200613_A3	14.200377	-21.304422
1001200613_A4	-19.556284	20.714493
1001200613_A5	-21.84999	15.320542
1001200613_A6	8.783876	-18.428444
1001200613_A7	-8.935116	-13.037321
1001200613_A8	-18.010996	17.1259
1001200613_A9	-12.026827	-14.488702
1001200613_B11	10.080044	8.9591675
1001200613_B12	-12.451074	-15.1326275
1001200613_B2	-7.4413977	-11.055699
1001200613_B3	14.759298	-22.544151
1001200613_B4	-9.709004	-9.737868
1001200613_B5	-23.723536	19.234077
1001200613_B6	8.599799	-21.24962
1001200613_B7	-11.305299	-15.838346
1001200613_B8	-16.757504	18.090351
1001200613_B9	-13.737114	-12.598826
1001200613_C1	9.137106	-19.458971
1001200613_C10	-16.653683	16.968374
1001200613_C11	14.443257	-21.005339
1001200613_C12	-11.089131	-12.809284
1001200613_C2	8.048869	-20.613653
1001200613_C3	-8.683509	-12.6711445
1001200613_C4	-10.208951	-11.606104
1001200613_C5	-15.113111	11.794464
1001200613_C7	-6.891756	-9.303678
1001200613_C9	-15.148069	-14.69175
1001200613_D1	13.687669	-20.81655
1001200613_D11	-14.632779	-13.284456
1001200613_D12	-13.337378	-11.42865
1001200613_D2	-6.379999	-9.141895
1001200613_D3	-7.2137675	-10.835807
1001200613_D4	-7.091601	-9.744095
1001200613_D5	7.136067	-24.614609
1001200613_D6	-18.017878	16.2398
1001200613_D8	-12.476823	-15.294904
1001200613_D9	-6.6745214	-8.57414
1001200613_E10	14.5285225	-21.500824
1001200613_E11	-12.868492	-13.528089
1001200613_E2	4.9667706	-1.775164
1001200613_E3	-19.74595	19.633556
1001200613_E4	-7.9985757	-8.899588
1001200613_E5	13.916765	-21.999931
1001200613_E6	-19.244833	20.50717
1001200613_E7	-14.140273	-14.688755
1001200613_E8	-6.255246	-7.689737
1001200613_F1	10.985271	-26.647615
1001200613_F10	14.484323	2.6355555
1001200613_F11	-14.302018	-13.229305
1001200613_F12	10.541395	5.779777
1001200613_F2	6.749768	0.5417098
1001200613_F3	-22.841228	17.899158
1001200613_F4	-19.208092	17.440641
1001200613_F5	-20.04383	22.644487
1001200613_F6	-6.117295	-7.8227158
1001200613_G1	-13.702145	-4.8110995
1001200613_G10	-13.999702	16.744907
1001200613_G11	10.168754	3.7906022
1001200613_G2	6.3435245	-0.40956274
1001200613_G3	14.849445	-22.037693
1001200613_G4	-22.531214	19.6125
1001200613_G5	-20.394787	21.171972
1001200613_G6	-11.124788	-15.182314
1001200613_G7	8.656586	9.511391
1001200613_G8	-12.942538	-13.976146
1001200613_G9	-23.101387	20.637907
1001200613_H1	15.4117565	-22.622042
1001200613_H2	-6.269491	-8.833062
1001200613_H3	-20.125004	14.832101
1001200613_H4	-24.24738	19.444113
1001200613_H5	15.475861	-22.87921
1001200613_H6	-6.418626	-8.365358
1001200613_H7	-16.216993	16.23338
1001200615_A10	18.865562	9.250491
1001200615_A11	-21.991451	19.370281
1001200615_A12	15.498769	10.41732
1001200615_A8	-16.738361	11.004103
1001200615_A9	10.448437	8.942339
1001200615_B10	14.25633	6.6951857
1001200615_B11	11.318243	10.33724
1001200615_B12	14.448499	10.842245
1001200615_B7	6.8873878	5.3666477
1001200615_B8	8.831487	7.595544
1001200615_B9	8.98021	4.4664235
1001200615_C10	17.30159	9.796761
1001200615_C11	7.536155	-22.129242
1001200615_C12	9.399656	2.2622216
1001200615_C7	8.140015	-22.01836
1001200615_C8	5.6650624	5.1559887
1001200615_C9	9.401251	10.686731
1001200615_D10	13.889577	8.570184
1001200615_D11	-19.316492	14.383609
1001200615_D12	9.108223	1.8036462
1001200615_D7	8.415328	4.7990017
1001200615_D8	3.5362372	1.2758797
1001200615_D9	9.257663	5.2619452
1001200615_E10	-20.814665	19.053284
1001200615_E12	7.480369	0.8668314
1001200615_E6	7.589702	-21.651342
1001200615_E8	-24.01479	17.406301
1001200615_E9	16.708252	5.74972
1001200615_F10	10.782845	-22.572657
1001200615_F11	8.60136	5.5213246
1001200615_F6	6.3835974	5.9686456
1001200615_F7	7.874898	4.6589394
1001200615_F8	10.012928	12.153514
1001200615_G12	15.179552	8.077221
1001200615_G9	18.210316	8.70763
1001200615_H10	-20.515457	14.574214
1001200615_H11	11.707104	10.169007
1001200615_H12	10.157851	4.425512
1001200615_H7	-25.285965	20.340738
1001200615_H8	7.7710447	9.328404
1001200615_H9	17.757881	9.517805
1001200616_A3	-17.597933	16.24934
1001200616_A4	-19.50542	21.480726
1001200616_A5	17.734348	8.676066
1001200616_A6	10.20238	7.69289
1001200616_A7	14.818747	9.371311
1001200616_B1	0.9619185	-0.42516136
1001200616_B2	11.327437	10.944749
1001200616_B3	8.854369	4.1815696
1001200616_B4	3.3955383	3.3568623
1001200616_B5	16.588362	9.099821
1001200616_B6	10.779407	8.288846
1001200616_B7	17.126898	3.633251
1001200616_C1	9.412951	8.360864
1001200616_C2	9.213765	9.298074
1001200616_C3	9.65058	11.611753
1001200616_C4	8.670328	3.4019575
1001200616_C5	17.321829	10.17418
1001200616_C6	5.5881042	0.23315962
1001200616_C7	16.197733	8.716224
1001200616_D1	12.556681	11.46147
1001200616_D2	10.136859	-21.574907
1001200616_D3	8.178041	-21.09375
1001200616_D4	8.772507	-20.206161
1001200616_D5	19.340752	8.852372
1001200616_D7	8.287017	1.6745954
1001200616_E1	9.935113	7.1961718
1001200616_E2	10.283381	10.040529
1001200616_E4	12.539537	10.920082
1001200616_E5	6.027958	-1.9507596
1001200616_E6	10.465738	10.559687
1001200616_E7	17.657104	6.8794746
1001200616_F1	11.248965	12.339455
1001200616_F2	7.5176554	2.695709
1001200616_F3	4.9028325	2.9192286
1001200616_F4	10.52754	10.5495825
1001200616_F5	8.494242	1.5416366
1001200616_F6	12.581813	9.766903
1001200616_G1	11.459176	11.638628
1001200616_G2	11.975715	6.909724
1001200616_G3	13.275761	10.500356
1001200616_G5	15.147514	7.7565455
1001200616_G6	9.79265	8.288667
1001200616_H1	-21.047977	18.119362
1001200616_H2	11.154134	11.483198
1001200616_H3	13.57831	8.586259
1001200616_H5	6.9688106	-0.57305276
1001200616_H6	17.025187	8.435514
1001200625_A10	-12.904399	-4.1492643
1001200625_A11	18.30889	8.052377
1001200625_A12	4.3346877	2.7142684
1001200625_A3	9.828835	-20.605103
1001200625_A5	4.03304	0.5761886
1001200625_A6	8.631795	-20.657543
1001200625_A7	8.617569	-17.401752
1001200625_A8	8.939434	-22.647673
1001200625_A9	-13.166582	-9.990024
1001200625_B11	16.868711	7.743243
1001200625_B12	-16.85578	11.223461
1001200625_B4	10.967857	0.11373835
1001200625_B5	10.3344555	4.42751
1001200625_B6	8.677131	-23.103884
1001200625_B7	9.689526	-22.98629
1001200625_B8	-12.361698	-6.6372313
1001200625_B9	8.58276	-17.101425
1001200625_C10	9.607239	-22.318615
1001200625_C11	16.829102	4.9429665
1001200625_C12	-22.41519	17.485703
1001200625_C4	11.746106	-27.697514
1001200625_C5	4.6035233	-1.6851257
1001200625_C6	-17.175863	17.031572
1001200625_C7	-12.513574	-12.605635
1001200625_C8	11.867727	6.0537877
1001200625_C9	-14.302794	-13.685404
1001200625_D11	18.028732	3.5968258
1001200625_D3	10.812424	-27.944096
1001200625_D4	-23.525524	20.550505
1001200625_D5	-11.201226	-14.429085
1001200625_D6	11.186539	0.5613093
1001200625_D8	9.942351	-20.553272
1001200625_D9	-15.04286	-12.494466
1001200625_E11	15.140452	7.221272
1001200625_E12	10.9921055	-26.737415
1001200625_E3	8.289238	-22.36512
1001200625_E4	-12.780682	-5.0553575
1001200625_E5	2.7792263	0.95716596
1001200625_E6	9.254867	-21.419352
1001200625_E9	16.333002	7.8928795
1001200625_F10	17.341862	4.30394
1001200625_F11	17.089888	3.2879672
1001200625_F12	14.432253	-22.286753
1001200625_F3	8.601554	3.2081609
1001200625_F4	9.067031	10.109049
1001200625_F5	10.741473	2.531628
1001200625_F9	17.10512	9.109606
1001200625_G10	16.081337	2.4686613
1001200625_G11	17.14447	7.303247
1001200625_G12	7.353797	-24.323256
1001200625_G3	10.309834	-22.202698
1001200625_G4	15.366098	-21.900324
1001200625_G5	-12.8490925	-11.520914
1001200625_G6	9.365294	-21.135176
1001200625_G7	15.290103	-20.972473
1001200625_G8	9.4082365	-21.913622
1001200625_G9	15.288291	8.540215
1001200625_H10	2.2350984	0.66461897
1001200625_H11	17.72311	5.073592
1001200625_H3	-20.572302	17.450485
1001200625_H5	3.3669348	-1.8323158
1001200625_H7	10.234816	-1.3842342
1001200625_H8	9.293612	-23.082718
1001200625_H9	17.19924	4.456445
1001200626_A10	-18.588781	19.34081
1001200626_A11	-14.848473	-8.984871
1001200626_A12	-11.055438	-9.875899
1001200626_A2	8.827836	-21.977411
1001200626_A3	-15.751779	-11.198321
1001200626_A4	-18.946863	13.228792
1001200626_A5	15.875616	5.3417416
1001200626_A6	-15.698698	10.059879
1001200626_A7	-17.489138	15.347452
1001200626_A8	-23.00533	17.613405
1001200626_A9	15.393378	3.1465394
1001200626_B1	-21.45272	15.329445
1001200626_B10	14.26666	3.6925213
1001200626_B11	-15.365607	11.763225
1001200626_B12	-5.7635946	-9.135527
1001200626_B2	-19.606909	21.125341
