	tSNE1	tSNE2
1001200602_A6	-28.48657	-6.1970797
1001200602_A7	12.305135	-55.380684
1001200602_B1	-2.8581886	-40.960236
1001200602_B10	-17.007675	-54.907333
1001200602_B2	38.858425	12.327692
1001200602_B4	6.711576	-57.474464
1001200602_B6	-14.72389	32.776512
1001200602_B7	-3.9843063	-54.917652
1001200602_B8	11.531129	11.369687
1001200602_B9	-13.555785	-60.020287
1001200602_C1	-19.35787	-48.01111
1001200602_C3	-7.720335	4.2426324
1001200602_C5	6.0754066	-55.662384
1001200602_C6	6.660036	22.21305
1001200602_C7	-0.83785856	-61.49688
1001200602_C8	-6.232594	-56.147816
1001200602_D10	23.07215	0.015596029
1001200602_D3	8.535974	-54.924435
1001200602_D4	11.251449	-52.14854
1001200602_D5	-21.237408	30.528513
1001200602_D6	-12.072872	16.227139
1001200602_D7	31.782055	22.869215
1001200602_D9	-16.599249	-55.637066
1001200602_E10	-6.979843	5.702875
1001200602_E3	-2.3239658	-56.710415
1001200602_E6	-18.477896	7.080863
1001200602_E7	11.426344	-54.09524
1001200602_E9	-14.16295	-49.416584
1001200602_F10	5.892455	17.942417
1001200602_F2	4.04772	-58.49053
1001200602_F3	28.8535	5.383006
1001200602_F5	14.002854	21.213388
1001200602_F7	8.500389	-56.522423
1001200602_F8	7.987076	-57.138508
1001200602_G1	-2.4220734	-42.926353
1001200602_G2	-17.730253	-41.63752
1001200602_G7	-12.765782	-34.670486
1001200602_G8	4.94426	24.362696
1001200602_H1	0.65166634	-63.630276
1001200602_H10	18.375425	4.352206
1001200602_H2	5.8642845	-62.58161
1001200602_H3	-8.224503	-48.30122
1001200602_H5	-14.180093	8.090342
1001200602_H7	-5.694318	-57.739056
1001200604_A10	-8.185567	-44.58015
1001200604_A11	11.219943	-49.80587
1001200604_A12	-17.110743	16.748165
1001200604_A2	-2.7695973	20.411663
1001200604_A3	-23.643162	14.571771
1001200604_A4	0.49465814	8.78586
1001200604_A5	-29.304445	-4.901364
1001200604_A6	-22.575258	9.231909
1001200604_A9	-13.889312	-43.18889
1001200604_B12	-14.513971	3.4006402
1001200604_B2	-2.3354807	-51.627583
1001200604_B3	1.2120395	6.533037
1001200604_B4	-12.574817	9.802486
1001200604_B6	-13.792425	-32.27472
1001200604_B8	-1.9588666	-46.431602
1001200604_C1	-13.178444	8.444402
1001200604_C10	-15.455356	-35.46166
1001200604_C12	-12.102261	4.2126937
1001200604_C2	4.253723	-52.012905
1001200604_C3	-9.156996	-48.84598
1001200604_C4	1.3032532	5.68062
1001200604_C5	-15.437111	11.886902
1001200604_C6	-25.264517	-2.759084
1001200604_C8	-0.052306287	-45.08569
1001200604_D1	-4.3122687	21.185326
1001200604_D10	1.0509737	-47.624138
1001200604_D11	16.947784	-16.57186
1001200604_D12	-17.02977	16.163435
1001200604_D3	-3.8228993	22.562317
1001200604_D4	-8.240098	17.552116
1001200604_D5	-11.725091	10.725772
1001200604_D7	-12.421429	-44.802086
1001200604_D8	29.84282	11.516705
1001200604_D9	-13.215695	-44.909695
1001200604_E1	-1.3553648	29.610737
1001200604_E10	33.850704	26.958157
1001200604_E11	1.5727986	-19.203106
1001200604_E12	16.547422	-17.123688
1001200604_E3	-13.35357	17.706669
1001200604_E4	-27.753635	7.14899
1001200604_E5	-5.195224	29.108736
1001200604_E7	7.326493	-50.721474
1001200604_E8	-14.573029	-32.833313
1001200604_E9	-13.372135	-43.60348
1001200604_F1	-0.633518	7.746262
1001200604_F10	5.816592	-52.626938
1001200604_F11	-18.511253	-37.01778
1001200604_F12	-19.281525	-37.183876
1001200604_F2	4.666421	-18.170637
1001200604_F3	-9.291727	21.992966
1001200604_F4	-1.608463	27.501606
1001200604_F5	-17.155994	26.887402
1001200604_F6	-24.204924	-4.471804
1001200604_G10	-12.3850355	-47.897552
1001200604_G12	16.192417	-17.266611
1001200604_G2	-11.65486	11.091569
1001200604_G3	-4.1672783	18.8105
1001200604_G4	-21.21664	8.15987
1001200604_G5	-3.975822	18.962116
1001200604_G6	-2.3355348	28.775589
1001200604_G7	-18.294271	-46.42218
1001200604_H1	-21.97692	29.334764
1001200604_H11	15.946602	-15.73655
1001200604_H12	16.075562	-16.35569
1001200604_H2	-20.804398	11.8341465
1001200604_H3	-15.488917	33.155308
1001200604_H4	-20.75259	13.674803
1001200604_H6	5.6237597	11.154944
