,DonorID,cell ID,stainingbyinsulin,treatment,knockdownbyqPCR_%,preincubation,Timefromtrasfection_days,Glucose_mM,CellSize_pF,TotalCapacitance_fF,NormalizedTotalCapacitance_fF/pF,FirstDepolarizationCapacitance_fF,NormalizedFirstDepolarizationCapacitance_fF/pF,LateDepolarizationCapacitance,NormalizedLateDepolarizationCapacitance,CalciumIntegralatFirstDepolarization_pC,CalciumIntegralNormalizedtoCellSize_pC/pF,CapacitanceNormalizedtoCalcium_fF/pC,PeakSodiumCurrentAmplitudeat-10mV_pA,NormalizedPeakSodiumCurrentAmplitude_pA/pF,SodiumChannelConductance_pS,NormalizedSodiumChannelConductance_pS/pF,HalfInactivationSodiumCurrent_mV,HalfInactivationCaCurrent_mV,EarlyPeakCalciumCurrentAmplitudeat-10mV_pA,NormalizedEarlyPeakCalciumCurrentAmplitude_pA/pF,EarlyCalciumChannelConductance_pS,NormalizedEarlyCalciumChannelConductance_pS/pF,LateCalciumChannelConductance_pS,NormalizedLateCalciumChannelConductance_pS/pF,ReversalPotentialbyramp_mV
0,R278,20180823_1,ins+,control,0,YES,2.0,10.0,5.19,45.78,8.82,16.99,3.27,28.79,5.55,-5.14,-0.99,3.31,-64.3,-12.39,1592.0,306.74,,,-7.83,-1.51,784.3,151.12,242.3,46.69,
1,R278,20180823_2,ins+,control,,YES,2.0,10.0,6.62,341.06,51.52,17.11,2.59,323.94,48.93,-0.56,-0.08,30.56,-109.0,-16.47,3091.0,466.92,,,-39.2,-5.92,1096.0,165.56,64.8,9.79,
2,R278,20180823_3,ins+,control,,YES,2.0,10.0,8.18,688.97,84.23,126.65,15.48,562.32,68.74,-1.22,-0.15,103.81,-139.0,-16.99,2558.0,312.71,,,-52.4,-6.41,1558.0,190.46,568.8,69.54,
3,R278,20180823_4,ins+,control,,YES,2.0,10.0,13.0,303.07,23.31,25.92,1.99,277.15,21.32,-12.34,-0.95,2.1,-225.0,-17.31,3876.0,298.15,,,-79.8,-6.14,1626.0,125.08,656.0,50.46,
4,R278,20180823_5,ins+,control,,YES,2.0,10.0,5.08,130.29,25.65,38.7,7.62,91.59,18.03,-3.27,-0.64,11.83,-17.7,-3.48,421.3,82.93,,,-19.9,-3.92,627.5,123.52,183.1,36.04,
5,R278,20180823_6,ins+,control,,YES,2.0,10.0,13.3,274.27,20.62,63.06,4.74,211.21,15.88,-3.11,-0.23,20.28,-375.0,-28.2,6644.0,499.55,,,-105.0,-7.89,2357.0,177.22,382.6,28.77,
6,R278,20180823_7,ins+,control,,YES,2.0,10.0,6.24,524.12,83.99,96.88,15.53,427.24,68.47,-0.13,-0.02,745.21,-85.1,-13.64,2070.0,331.73,,,-43.4,-6.96,1267.0,203.04,648.1,103.86,
7,R278,20180823_8,ins -,control,,YES,2.0,10.0,4.39,33.2,7.56,6.1,1.39,27.1,6.17,,,,-75.1,-17.11,1855.0,422.55,,,-29.2,-6.65,926.1,210.96,272.4,62.05,
8,R278,20180823_10,ins+,control,,YES,2.0,10.0,5.35,341.72,63.87,28.58,5.34,313.14,58.53,,,,-195.0,-36.45,3712.0,693.83,,,-27.9,-5.21,724.4,135.4,252.9,47.27,
9,R278,20180824_17,ins+,control,,YES,3.0,10.0,8.17,186.04,22.77,34.47,4.22,151.57,18.55,-3.13,-0.38,11.01,-115.0,-14.08,2409.0,294.86,,,-71.9,-8.8,3393.0,415.3,162.1,19.84,
10,R278,20180824_18,ins+,control,,YES,3.0,10.0,6.93,171.21,24.7,18.07,2.61,153.14,22.1,-3.86,-0.56,4.68,-66.0,-9.52,1229.0,177.34,,,-51.2,-7.39,1499.0,216.31,221.0,31.89,
11,R278,20180824_39,ins+,control,,YES,3.0,10.0,8.91,496.79,55.76,39.41,4.42,457.38,51.33,-1.03,-0.12,38.26,-71.0,-7.97,1690.0,189.67,,,-38.6,-4.33,1227.0,137.71,119.7,13.43,
12,R278,20180824_40,ins+,control,,YES,3.0,10.0,8.86,148.8,16.79,31.69,3.58,117.11,13.22,-0.77,-0.09,41.16,-442.0,-49.89,7006.0,790.74,,,-98.2,-11.08,3077.0,347.29,102.6,11.58,
13,R278,20180824_41,ins+,control,,YES,3.0,10.0,6.72,405.3,60.31,85.31,12.69,319.99,47.62,-8.8,-1.31,9.69,-69.7,-10.37,1141.0,169.79,,,-37.3,-5.55,1020.0,151.79,345.2,51.37,
28,R278,20180823_16,ins+,siOgdhl,80.7,YES,2.0,10.0,8.9,100.35,11.27,9.4,1.06,90.94,10.22,-4.69,-0.53,2.01,-63.7,-7.16,1783.0,200.34,,,-43.6,-4.9,1223.0,137.42,561.4,63.08,
29,R278,20180823_17,ins+,siOgdhl,,YES,2.0,10.0,8.7,167.37,19.24,13.8,1.59,153.57,17.65,-0.13,-0.01,106.13,-88.9,-10.22,1530.0,175.86,,,-28.8,-3.31,668.7,76.86,56.4,6.48,
30,R278,20180823_18,ins+,siOgdhl,,YES,2.0,10.0,6.87,35.69,5.19,17.09,2.49,18.59,2.71,-0.34,-0.05,50.28,-67.0,-9.75,1544.0,224.75,,,-26.6,-3.87,709.8,103.32,91.6,13.33,
31,R278,20180823_19,ins+,siOgdhl,,YES,2.0,10.0,7.26,81.16,11.18,10.3,1.42,70.86,9.76,-0.2,-0.03,51.52,-47.1,-6.49,884.0,121.76,,,-24.8,-3.42,599.5,82.58,148.9,20.51,
32,R278,20180823_20,ins+,siOgdhl,,YES,2.0,10.0,12.4,23.07,1.86,-10.03,-0.81,33.09,2.67,-4.13,-0.33,-2.43,-446.0,-35.97,6457.0,520.73,,,-150.0,-12.1,4482.0,361.45,288.7,23.28,
33,R278,20180824_1,ins+,siOgdhl,,YES,3.0,10.0,7.89,217.62,27.58,4.7,0.6,212.92,26.99,-8.74,-1.11,0.54,-238.0,-30.16,4589.0,581.62,,,-96.4,-12.22,2145.0,271.86,898.5,113.88,
34,R278,20180824_2,ins+,siOgdhl,,YES,3.0,10.0,6.59,-39.29,-5.96,-0.2,-0.03,-39.09,-5.93,-0.9,-0.14,-0.22,-49.2,-7.47,1278.0,193.93,,,-24.8,-3.76,939.1,142.5,112.0,17.0,
35,R278,20180824_3,ins+,siOgdhl,,YES,3.0,10.0,7.26,-13.5,-1.86,-0.1,-0.01,-13.4,-1.85,-5.8,-0.8,-0.02,-31.2,-4.3,1006.0,138.57,,,-39.1,-5.39,1024.0,141.05,539.8,74.35,
36,R278,20180824_4,ins+,siOgdhl,,YES,3.0,10.0,9.57,-38.31,-4.0,3.7,0.39,-42.01,-4.39,-0.11,-0.01,33.65,-71.3,-7.45,1575.0,164.58,,,-32.2,-3.36,638.1,66.68,585.1,61.14,
37,R278,20180824_5,ins+,siOgdhl,,YES,3.0,10.0,8.57,-11.6,-1.35,-1.0,-0.12,-10.6,-1.24,-0.03,0.0,-33.32,-74.9,-8.74,1489.0,173.75,,,-23.0,-2.68,421.3,49.16,215.5,25.15,
38,R278,20180824_19,lost,siOgdhl,,YES,3.0,10.0,9.41,-13.3,-1.41,-19.91,-2.12,6.6,0.7,,,,-47.7,-5.07,1313.0,139.53,,,-28.6,-3.04,1347.0,143.15,264.3,28.09,
39,R278,20180824_20,ins+,siOgdhl,,YES,3.0,10.0,8.85,190.11,21.48,12.79,1.45,177.32,20.04,,,,-24.6,-2.78,603.2,68.16,,,-10.4,-1.18,311.5,35.2,0.0,0.0,
40,R278,20180824_22,lost,siOgdhl,,YES,3.0,10.0,11.6,283.0,24.4,22.08,1.9,260.92,22.49,-0.05,0.0,441.56,-109.0,-9.4,2220.0,191.38,,,-38.5,-3.32,1770.0,152.59,103.9,8.96,
41,R278,20180824_23,ins+,siOgdhl,,YES,3.0,10.0,6.84,-1.5,-0.22,-2.1,-0.31,0.6,0.09,-0.04,-0.01,-52.48,-104.0,-15.2,1985.0,290.2,,,-43.8,-6.4,1188.0,173.68,99.6,14.56,
42,R278,20180824_24,ins+,siOgdhl,,YES,3.0,10.0,6.78,9.2,1.36,-3.6,-0.53,12.8,1.89,-0.79,-0.12,-4.56,-97.2,-14.34,1896.0,279.65,,,-18.0,-2.65,965.4,142.39,182.3,26.89,
60,H2182,20180907_1,ins+,control,0,YES,2.0,10.0,3.89,168.09,43.21,79.16,20.35,88.93,22.86,-1.94,-0.5,-40.8,-25.0,-6.43,815.2,209.56,,,-23.3,-5.99,933.0,239.85,611.4,157.17,
61,H2182,20180907_2,ins+,control,,YES,2.0,10.0,4.26,316.18,74.22,94.44,22.17,221.73,52.05,-4.21,-0.99,-22.43,-69.0,-16.2,1245.0,292.25,,,-22.4,-5.26,809.1,189.93,532.2,124.93,
62,H2182,20180907_3,ins+,control,,YES,2.0,10.0,4.88,318.18,65.2,125.56,25.73,192.61,39.47,-1.71,-0.35,-73.43,-58.1,-11.91,1338.0,274.18,,,-43.2,-8.85,1443.0,295.7,713.1,146.13,
63,H2182,20180907_4,ins+,control,,YES,2.0,10.0,8.21,208.12,25.35,79.47,9.68,128.65,15.67,-2.79,-0.34,-28.48,-204.0,-24.85,5436.0,662.12,,,-44.9,-5.47,2071.0,252.25,224.7,27.37,
64,H2182,20180907_6,ins+,control,,YES,2.0,10.0,7.74,113.86,14.71,27.32,3.53,86.53,11.18,-0.54,-0.07,-50.59,-16.7,-2.16,700.7,90.53,,,-17.4,-2.25,780.0,100.78,505.4,65.3,
65,H2182,20180907_7,ins+,control,,YES,2.0,10.0,9.85,218.28,22.16,67.67,6.87,150.61,15.29,-0.09,-0.01,-751.89,-8.4,-0.85,271.3,27.54,,,-16.2,-1.64,458.0,46.5,175.5,17.82,
66,H2182,20180907_8,ins+,control,,YES,2.0,10.0,9.8,896.5,91.48,98.0,10.0,798.5,81.48,-0.06,-0.01,-1633.33,-125.0,-12.76,2987.0,304.8,,,-32.5,-3.32,1448.0,147.76,11.0,1.12,
67,H2182,20180907_9,ins+,control,,YES,2.0,10.0,10.9,344.0,31.56,83.39,7.65,260.62,23.91,-0.2,-0.02,-416.95,-89.3,-8.19,2130.0,195.41,,,-14.7,-1.35,1166.0,106.97,115.6,10.61,
68,H2182,20180907_11,ins-,control,,YES,2.0,10.0,9.98,-4.19,-0.42,10.68,1.07,-14.87,-1.49,-0.07,-0.01,-152.57,-171.0,-17.13,3489.0,349.6,,,-39.1,-3.92,2530.0,253.51,195.7,19.61,
102,R281,2018_0910_11,ins+,control,0,YES,2.0,10.0,7.74,121.05,15.64,-13.31,-1.72,134.36,17.36,-0.08,-0.01,166.38,-215.0,-27.78,4944.0,638.76,,,-55.6,-7.18,2745.0,354.65,198.9,25.7,
103,R281,2018_0910_12,ins+,control,,YES,2.0,10.0,10.7,340.9,31.86,154.72,14.46,186.18,17.4,-1.25,-0.12,-123.78,-290.0,-27.1,4637.0,433.36,,,-94.0,-8.79,1879.0,175.61,1213.0,113.36,
104,R281,2018_0910_13,ins+,control,,YES,2.0,10.0,6.14,27.45,4.47,6.69,1.09,20.76,3.38,-0.2,-0.03,-33.45,,,,,,,,,,,,,
105,R281,2018_0910_14,ins+,control,,YES,2.0,10.0,9.65,263.54,27.31,4.73,0.49,258.81,26.82,-0.26,-0.03,-18.19,,,,,,,,,,,,,
106,R281,2018_0910_15,ins+,control,,YES,2.0,10.0,4.69,79.03,16.85,14.49,3.09,64.54,13.76,,,,,,,,,,,,,,,,
112,R282,2018_0918_1,ins+,control,0,YES,2.0,10.0,8.64,846.46,97.97,47.52,5.5,798.94,92.47,-5.94,-0.69,8.0,-87.3,-10.1,2581.0,298.73,,,-29.1,-3.37,771.0,89.24,,,
113,R282,2018_0918_2,ins+,control,,YES,2.0,10.0,5.93,110.18,18.58,8.18,1.38,102.0,17.2,-0.08,-0.01,102.25,-11.7,-1.97,538.1,90.74,,,-8.46,-1.43,158.7,26.76,,,
114,R282,2018_0918_5,ins+,siFam159b,84.8,YES,2.0,10.0,14.2,565.59,39.83,35.07,2.47,530.52,37.36,-0.06,-0.004,584.5,-84.9,-5.98,2018.0,142.11,,,-34.7,-2.44,1359.0,95.7,,,
115,R282,2018_0918_6,ins+,siFam159b,,YES,2.0,10.0,3.47,24.46,7.05,4.41,1.27,20.05,5.78,,,,-3.89,-1.12,87.7,25.27,,,-2.44,-0.7,55.6,16.02,,,
116,R282,2018_0918_7,ins+,siFam159b,,YES,2.0,10.0,10.7,262.9,24.57,29.85,2.79,233.05,21.78,-0.21,-0.02,142.14,-84.9,-7.93,2560.0,239.25,,,-23.1,-2.16,509.5,47.62,,,
117,R282,2018_0918_8,ins+,siFam159b,,YES,2.0,10.0,8.81,65.19,7.4,9.34,1.06,55.85,6.34,-0.09,-0.01,103.78,-10.3,-1.17,323.5,36.72,,,-5.59,-0.63,212.2,24.09,,,
118,R282,2018_0918_9,ins+,siFam159b,,YES,2.0,10.0,6.95,37.32,5.37,11.33,1.63,25.99,3.74,-0.03,-0.004,377.67,-16.4,-2.36,656.3,94.43,,,-4.96,-0.71,214.5,30.86,,,
119,R282,2018_0918_10,ins+,siFam159b,,YES,2.0,10.0,8.48,36.89,4.35,11.53,1.36,25.36,2.99,-0.31,-0.04,37.19,-35.5,-4.19,1054.0,124.29,,,-16.9,-1.99,676.0,79.72,,,
120,R282,2018_0918_11,ins+,siFam159b,,YES,2.0,10.0,8.0,241.92,30.24,48.08,6.01,193.84,24.23,-0.92,-0.11,52.26,-35.0,-4.38,941.3,117.66,,,-22.2,-2.78,1326.0,165.75,,,
126,R282,2018_0918_17,lost,control,,YES,2.0,10.0,7.76,112.68,14.52,41.59,5.36,71.09,9.16,-0.69,-0.09,60.28,-28.6,-3.69,852.3,109.83,,,-22.4,-2.89,674.1,86.87,,,
127,R282,2018_0918_18,ins+,control,,YES,2.0,10.0,7.23,105.63,14.61,8.89,1.23,96.74,13.38,-0.2,-0.03,44.45,-44.3,-6.13,1369.0,189.35,,,-16.4,-2.27,442.0,61.13,,,
128,R282,2018_0918_19,ins+,control,,YES,2.0,10.0,8.33,231.49,27.79,35.9,4.31,195.59,23.48,-1.53,-0.18,23.46,-43.5,-5.22,689.5,82.77,,,-20.5,-2.46,678.0,81.39,,,
